title,year,imdb_votes,location,geocode
The Young Savages,1961,1505,"East Harlem, Manhattan, New York City, New York, USA",
The Chosen,1981,1532,"Park Slope, Brooklyn, New York City, New York, USA",
No Way to Treat a Lady,1968,1536,"Lincoln Center for the Performing Arts, Lincoln Center Plaza, Manhattan, New York City, New York, USA",
Breeders,1986,1554,"New York City, New York, USA",
The Landlord,1970,1557,"51 Prospect Place, Brooklyn, New York City, New York, USA",
Mr. Jealousy,1997,1568,"Greenwich Village, Manhattan, New York City, New York, USA",
John and Mary,1969,1571,"Biograph Studios, Bronx, New York City, New York, USA",
The Exploding Girl,2009,1571,"New York City, New York, USA",
The Book of Life,1998,1643,"Staten Island Ferry, New York Harbor, New York City, New York, USA",
They All Laughed,1981,1659,"Manhattan, New York City, New York, USA",
It Felt Like Love,2013,1687,"Brooklyn, New York City, New York, USA",
The Confession,1999,1777,"Battery Park, Manhattan, New York City, New York, USA",
The Confession,1999,1777,"Brooklyn, New York City, New York, USA",
The Confession,1999,1777,"New York City, New York, USA",
The Confession,1999,1777,"Tribeca, Manhattan, New York City, New York, USA",
The House on Carroll Street,1988,1777,"Cherry Lane Theatre - 38 Commerce Street, Greenwich Village, Manhattan, New York City, New York, USA",
The House on Carroll Street,1988,1777,"Greenwich Village, Manhattan, New York City, New York, USA",
The House on Carroll Street,1988,1777,"Manhattan, New York City, New York, USA",
The House on Carroll Street,1988,1777,"New York City, New York, USA",
Side Street,1949,1791,"32nd Street and First Avenue, Manhattan, New York City, New York, USA",
Side Street,1949,1791,"8th Street, Manhattan, New York City, New York, USA",
Side Street,1949,1791,"Battery Park, Manhattan, New York City, New York, USA",
Side Street,1949,1791,"Central Park West, Manhattan, New York City, New York, USA",
Side Street,1949,1791,"Central Park, Manhattan, New York City, New York, USA",
Side Street,1949,1791,"East River, New York City, New York, USA",
Side Street,1949,1791,"Federal Hall, Wall Street, Manhattan, New York City, New York, USA",
Side Street,1949,1791,"Fulton Fishmarket, Fulton Street, Manhattan, New York City, New York, USA",
Side Street,1949,1791,"Greenwich Village, Manhattan, New York City, New York, USA",
Side Street,1949,1791,"Morgue, Bellevue Hospital - 550 First Avenue, Manhattan, New York City, New York, USA",
Side Street,1949,1791,"Park Avenue, Manhattan, New York City, New York, USA",
Side Street,1949,1791,"Polyclinic Hospital, Manhattan, New York City, New York, USA",
Side Street,1949,1791,"Queensboro Bridge, Manhattan, New York City, New York, USA",
Side Street,1949,1791,"Third Avenue El, Manhattan, New York City, New York, USA",
Side Street,1949,1791,"Times Square, Manhattan, New York City, New York, USA",
Side Street,1949,1791,"Wall Street, Manhattan, New York City, New York, USA",
Side Street,1949,1791,"Washington Market, Manhattan, New York City, New York, USA",
Little Fugitive,1953,1820,"2951 West 8th St., Brooklyn, New York City, New York, USA",
Little Fugitive,1953,1820,"Coney Island, Brooklyn, New York City, New York, USA",
"Kiss Me, Guido",1997,1825,"Christopher Street Pier, Greenwich Village, Manhattan, New York City, New York, USA",
"Kiss Me, Guido",1997,1825,"Christopher Street, Greenwich Village, Manhattan, New York City, New York, USA",
"Kiss Me, Guido",1997,1825,"The Bronx, New York City, New York, USA",
Chelsea Walls,2001,1834,"Chelsea Hotel - 222 West 23rd Street, Chelsea, Manhattan, New York City, New York, USA",
Fingers,1978,1842,"Sutton Place Park, 57th Street, Manhattan, New York City, New York, USA",
Fingers,1978,1842,"Corner of Mercer Street, and Broome Street , New York City, New York, USA",
Fingers,1978,1842,"486 Broadway, Manhattan, New York City, New York, USA",
Fingers,1978,1842,"Carnegie Hall - 57th Street & 7th Avenue, Manhattan, New York City, New York, USA",
Fingers,1978,1842,"Central Park, Manhattan, New York City, New York, USA",
Fingers,1978,1842,"Excelsior Athletic Club, 301 East 57th Street, Manhattan, New York City, New York, USA",
Fingers,1978,1842,"New York City, New York, USA",
Fingers,1978,1842,"Pierre Hotel, Fifth Avenue & 61st Street, Manhattan, New York City, New York, USA",
Fingers,1978,1842,"Soho District, Lower Manhattan, Manhattan, New York City, New York, USA",
Plaza Suite,1971,1846,"Plaza Hotel - 750 Fifth Avenue, Manhattan, New York City, New York, USA",
Sunday in New York,1963,1904,"Central Park Lake, Central Park, Manhattan, New York City, New York, USA",
Sunday in New York,1963,1904,"Central Park, Manhattan, New York City, New York, USA",
Sunday in New York,1963,1904,"Manhattan, New York City, New York, USA",
Sunday in New York,1963,1904,"New York City, New York, USA",
Sunday in New York,1963,1904,"Pennsylvania Station, Manhattan, New York City, New York, USA",
"The World, the Flesh and the Devil",1959,1972,"Manhattan, New York City, New York, USA",
Ira & Abby,2006,1975,"New York City, New York, USA",
The Incident,1967,1977,"3rd Avenue, Bronx, New York City, New York, USA",
The Incident,1967,1977,"Biograph Studios, Bronx, New York City, New York, USA",
The Incident,1967,1977,"New York City, New York, USA",
The Incident,1967,1977,"Webster Avenue, Bronx, New York City, New York, USA",
Vigilante,1983,1984,"Brooklyn, New York City, New York, USA",
Vigilante,1983,1984,"New York City, New York, USA",
The Saint of Fort Washington,1993,1988,"New York City, New York, USA",
Shakedown,1988,2012,"Astoria, Queens, New York City, New York, USA",
Shakedown,1988,2012,"Astroland Park, Coney Island, Brooklyn, New York City, New York, USA",
Shakedown,1988,2012,"Times Square, Manhattan, New York City, New York, USA",
Combat Shock,1984,2032,"Port Richmond, Staten Island, New York City, New York, USA",
Combat Shock,1984,2032,"Staten Island, New York City, New York, USA",
Cinemania,2002,2057,"New York City, New York, USA",
Joe,1970,2059,"New York City, New York, USA",
Putney Swope,1969,2091,"New York City, New York, USA",
The Valachi Papers,1972,2092,"New York City, New York, USA",
Puccini for Beginners,2006,2107,"New York City, New York, USA",
The Night We Never Met,1993,2122,"New York City, New York, USA",
The Catered Affair,1956,2158,"1183 Franklin Avenue, Bronx, New York City, New York, USA",
The Catered Affair,1956,2158,"900 Grand Concourse, Bronx, New York City, New York, USA",
The Catered Affair,1956,2158,"Triborough Bridge, Bronx, New York City, New York, USA",
The Catered Affair,1956,2158,"Bronx, New York City, New York, USA",
Those People,2015,2158,"Manhattan, New York City, New York, USA",
Someday This Pain Will Be Useful to You,2011,2178,"New York City, New York, USA",
Mr. Lucky,1943,2179,"George Washington Bridge, Manhattan, New York City, New York, USA",
A Double Life,1947,2187,"Epire Theatre, New York City, New York, USA",
A Double Life,1947,2187,"New York City, New York, USA",
Love the Hard Way,2001,2197,"Bronx, New York City, New York, USA",
Love the Hard Way,2001,2197,"Columbia University - Broadway & 116th Street, Manhattan, New York City, New York, USA",
Love the Hard Way,2001,2197,"Manhattan, New York City, New York, USA",
Love the Hard Way,2001,2197,"New York City, New York, USA",
Love the Hard Way,2001,2197,"Staten Island Ferry, New York Harbor, New York City, New York, USA",
Love the Hard Way,2001,2197,"Tribeca Cinemas, Tribeca, Manhattan, New York City, New York, USA",
Greetings,1968,2376,"Bookmasters Book Store, Manhattan, New York City, New York, USA",
Greetings,1968,2376,"Le Caf Figaro - 184 Bleecker Street, Greenwich Village, Manhattan, New York City, New York, USA",
Greetings,1968,2376,"New York City, New York, USA",
Greetings,1968,2376,"What Not Shop, New York City, New York, USA",
A Price Above Rubies,1998,2378,"Bensonhurst, Brooklyn, New York City, New York, USA",
The Owl and the Pussycat,1970,2431,"New York City, New York, USA",
The Owl and the Pussycat,1970,2431,"Central Park, Manhattan, New York City, New York, USA",
The Owl and the Pussycat,1970,2431,"Club 45, New York City, New York, USA",
The Owl and the Pussycat,1970,2431,"General Motors Building - 767 Fifth Avenue, Manhattan, New York City, New York, USA",
The Owl and the Pussycat,1970,2431,"Lincoln Center - 10 Lincoln Center Plaza, Manhattan, New York City, New York, USA",
The Owl and the Pussycat,1970,2431,"The New School, Manhattan, New York City, New York, USA",
The Owl and the Pussycat,1970,2431,"World Theatre - 153 West 49th Street, Manhattan, New York City, New York, USA",
It Should Happen to You,1954,2447,"New York City, New York, USA",
It Should Happen to You,1954,2447,"Central Park, Manhattan, New York City, New York, USA",
It Should Happen to You,1954,2447,"Columbus Circle, Manhattan, New York City, New York, USA",
It Should Happen to You,1954,2447,"Manhattan, New York City, New York, USA",
Insignificance,1985,2467,"New York City, New York, USA",
Five Corners,1987,2533,"Astoria, Queens, New York City, New York, USA",
Day Zero,2007,2571,"Lower East Side, Manhattan, New York City, New York, USA",
Day Zero,2007,2571,"New York City, New York, USA",
Day Zero,2007,2571,"Penn Station, Manhattan, New York City, New York, USA",
The World of Henry Orient,1964,2584,"Central Park, Manhattan, New York City, New York, USA",
The World of Henry Orient,1964,2584,"Manhattan, New York City, New York, USA",
The World of Henry Orient,1964,2584,"New York City, New York, USA",
The World of Henry Orient,1964,2584,"Sailboat Pond, Central Park, Manhattan, New York City, New York, USA",
The Guitar,2008,2614,"New York City, New York, USA",
The Guitar,2008,2614,"Tompkins Square Park, Greenwich Village, Manhattan, New York City, New York, USA",
Man Push Cart,2005,2681,"New York City, New York, USA",
Beat Street,1984,2697,"Fresh Pond Road Train Station, Fresh Pond Road, Ridgewood, Queens, New York City, New York, USA",
Beat Street,1984,2697,"Fresh Pond Road, Ridgewood, Queens, New York City, New York, USA",
Tui shou,1992,2704,"Chinatown, Manhattan, New York City, New York, USA",
Ash Wednesday,2002,2721,"Greenpoint, Brooklyn, New York City, New York, USA",
Ash Wednesday,2002,2721,"New York City, New York, USA",
Ash Wednesday,2002,2721,"The Blarney Stone Bar, 9th Avenue, Manhattan, New York City, New York, USA",
Urbania,2000,2778,"New York City, New York, USA",
The Killing Floor,2007,2782,"New York City, New York, USA",
Taking Off,1971,2783,"Greenwich Village, Manhattan, New York City, New York, USA",
Taking Off,1971,2783,"New York City, New York, USA",
All Over Me,1997,2801,"12th Avenue, Manhattan, New York City, New York, USA",
All Over Me,1997,2801,"Clinton, Manhattan, New York City, New York, USA",
All Over Me,1997,2801,"New York City, New York, USA",
Bachelor Mother,1939,2821,"Central Park, Manhattan, New York City, New York, USA",
Bachelor Mother,1939,2821,"Times Square, Manhattan, New York City, New York, USA",
XX/XY,2002,2842,"New York City, New York, USA",
The Seven Five,2014,2849,"New York City, New York, USA",
The Seven Five,2014,2849,"Brooklyn, New York City, New York, USA",
A Stranger Among Us,1992,2860,"83rd Precinct, Bushwick, Brooklyn, New York City, New York, USA",
A Stranger Among Us,1992,2860,"Forest Avenue, Ridgewood, Queens, New York City, New York, USA",
A Stranger Among Us,1992,2860,"New York City, New York, USA",
A Stranger Among Us,1992,2860,"Putnam Avenue, Ridgewood, Queens, New York City, New York, USA",
A Stranger Among Us,1992,2860,"Ridgewood, Queens, New York City, New York, USA",
Every Day,2010,2873,"Bayside, Queens, New York City, New York, USA",
Every Day,2010,2873,"Whitestone, Queens, New York City, New York, USA",
Time Out of Mind,2014,2876,"New York City, New York, USA",
Hungry Hearts,2014,2891,"New York City, New York, USA",
Starting Out in the Evening,2007,2902,"Upper West Side, Manhattan, New York City, New York, USA",
Starting Out in the Evening,2007,2902,"New York City, New York, USA",
When Will I Be Loved,2004,2946,"Greenwich Village, Manhattan, New York City, New York, USA",
When Will I Be Loved,2004,2946,"Hudson River Park, Tribeca, Manhattan, New York City, New York, USA",
When Will I Be Loved,2004,2946,"Manhattan, New York City, New York, USA",
Still of the Night,1982,2973,"Boathouse Cafe, Central Park, Manhattan, New York City, New York, USA",
Still of the Night,1982,2973,"Central Park, Manhattan, New York City, New York, USA",
Still of the Night,1982,2973,"Columbia University - Broadway & 116th Street, Manhattan, New York City, New York, USA",
Still of the Night,1982,2973,"Manhattan, New York City, New York, USA",
Still of the Night,1982,2973,"New York City, New York, USA",
Still of the Night,1982,2973,"Trefoil Arch, Central Park, Manhattan, New York City, New York, USA",
The Boys in the Band,1970,3000,"Julius Bar, 159 West 10th Street, Greenwich Village, Manhattan, New York City, New York, USA",
The Boys in the Band,1970,3000,"Greenwich Village, Manhattan, New York City, New York, USA",
The Boys in the Band,1970,3000,"Bergdorf Goodman, 5th Avenue at 58th Street, Manhattan, New York City, New York, USA",
The Boys in the Band,1970,3000,"Doubleday Books, 5th Avenue & 53rd Street, Manhattan, New York City, New York, USA",
The Boys in the Band,1970,3000,"Manhattan, New York City, New York, USA",
The Boys in the Band,1970,3000,"New York Production Center Studios - 221 West 26th Street, Manhattan, New York City, New York, USA",
The Boys in the Band,1970,3000,"Upper East Side, Manhattan, New York City, New York, USA",
Love with the Proper Stranger,1963,3043,"New York City, New York, USA",
End of the Century,2003,3065,"Forest Hills, Queens, New York City, New York, USA",
End of the Century,2003,3065,"Manhattan, New York City, New York, USA",
End of the Century,2003,3065,"Waldorf-Astoria Hotel - 301 Park Avenue, Manhattan, New York City, New York, USA",
Requiem for a Heavyweight,1962,3069,"Downing Stadium, Randall's Island, East River, New York City, New York, USA",
Requiem for a Heavyweight,1962,3069,"New York City, New York, USA",
Requiem for a Heavyweight,1962,3069,"Randall's Island, East River, New York City, New York, USA",
Generation Um...,2012,3099,"Lower East Side, Manhattan, New York City, New York, USA",
Generation Um...,2012,3099,"New York City, New York, USA",
The Dark Corner,1946,3103,"Third Avenue El, Manhattan, New York City, New York, USA",
The Dark Corner,1946,3103,"Burden Mansion, 7 East 91st Street, New York City, New York, USA",
The Dark Corner,1946,3103,"New York City, New York, USA",
Double Whammy,2001,3136,"New York City, New York, USA",
Please Don't Eat the Daisies,1960,3166,"Washington Square Park, Greenwich Village, Manhattan, New York City, New York, USA",
Mad Hot Ballroom,2005,3178,"New York City, New York, USA",
Eyewitness,1981,3217,"Central Park Lake, Central Park, Manhattan, New York City, New York, USA",
Eyewitness,1981,3217,"Central Park, Manhattan, New York City, New York, USA",
Eyewitness,1981,3217,"Claremont Riding Academy - 175 West 89th Street, Manhattan, New York City, New York, USA",
Eyewitness,1981,3217,"Manhattan, New York City, New York, USA",
Eyewitness,1981,3217,"New York City, New York, USA",
Sugar Hill,1993,3230,"New York City, New York, USA",
Love Affair,1939,3255,"5th Avenue, Manhattan, New York City, New York, USA",
Love Affair,1939,3255,"Empire State Building - 350 Fifth Avenue, Manhattan, New York City, New York, USA",
Love Affair,1939,3255,"Fifth Avenue, Manhattan, New York City, New York, USA",
Love Affair,1939,3255,"Manhattan, New York City, New York, USA",
Love Affair,1939,3255,"New York City, New York, USA",
Heaven Help Us,1985,3298,"Brooklyn, New York City, New York, USA",
Heaven Help Us,1985,3298,"Coney Island, Brooklyn, New York City, New York, USA",
Heaven Help Us,1985,3298,"New York City, New York, USA",
"Hi, Mom!",1970,3304,"New York City, New York, USA",
All I Want for Christmas,1991,3455,"New York City, New York, USA",
If Lucy Fell,1996,3460,"Brooklyn Bridge, New York City, New York, USA",
If Lucy Fell,1996,3460,"New York City, New York, USA",
Little Men,2016,3498,"Brooklyn, New York City, New York, USA",
Little Men,2016,3498,"Sunset Park, Brooklyn, New York City, New York, USA",
Little Men,2016,3498,"Graham Avenue, Williamsburg, Brooklyn, New York City, New York, USA",
Little Men,2016,3498,"Bay Ridge, Brooklyn, New York City, New York, USA",
Little Men,2016,3498,"Bensonhurst, Brooklyn, New York City, New York, USA",
Little Men,2016,3498,"Bed-Stuyvesant, Brooklyn, New York City, New York, USA",
Little Men,2016,3498,"East Williamsburg, Brooklyn, New York City, New York, USA",
Little Men,2016,3498,"Acting Out, Brooklyn, New York City, New York, USA",
Little Men,2016,3498,"Brooklyn Museum, Brooklyn, New York City, New York, USA",
An Unmarried Woman,1978,3510,"New York City, New York, USA",
Vanya on 42nd Street,1994,3521,"New Amsterdam Theater - 214 West 42nd Street, Manhattan, New York City, New York, USA",
Vanya on 42nd Street,1994,3521,"New York City, New York, USA",
White Girl,2016,3592,"Brooklyn, New York City, New York, USA",
White Girl,2016,3592,"Manhattan, New York City, New York, USA",
White Girl,2016,3592,"Ridgewood, Queens, New York City, New York, USA",
Chop Shop,2007,3629,"Queens, New York City, New York, USA",
Paradise Alley,1978,3634,"New York City, New York, USA",
Whipped,2000,3695,"New York City, New York, USA",
Party Girl,1995,3705,"New York City, New York, USA",
August,2008,3762,"New York City, New York, USA",
Night and the City,1992,3813,"New York City, New York, USA",
Light Sleeper,1992,3848,"Equitable Center, Manhattan, New York City, New York, USA",
Light Sleeper,1992,3848,"Hotel Pennsylvania, West 32nd Street, Manhattan, New York City, New York, USA",
Light Sleeper,1992,3848,"La Cte Basque - 5 East 55th Street, Manhattan, New York City, New York, USA",
Light Sleeper,1992,3848,"Manhattan, New York City, New York, USA",
Light Sleeper,1992,3848,"New York City, New York, USA",
Light Sleeper,1992,3848,"Palio Restaurant - 151 West 51st Street, Manhattan, New York City, New York, USA",
Light Sleeper,1992,3848,"Paramount Hotel - 235 West 46th Street, Manhattan, New York City, New York, USA",
Light Sleeper,1992,3848,"Penn Station, Manhattan, New York City, New York, USA",
Oxygen,1999,3941,"Astoria, Queens, New York City, New York, USA",
Oxygen,1999,3941,"Brooklyn, New York City, New York, USA",
Oxygen,1999,3941,"Mount Zion Cemetery, Maspeth, Queens, New York City, New York, USA",
Oxygen,1999,3941,"New York City, New York, USA",
The Groomsmen,2006,3996,"Antarctica Bar - 287 Hudson Street, New York City, New York, USA",
The Groomsmen,2006,3996,"City Island, Bronx, New York City, New York, USA",
The Groomsmen,2006,3996,"New York City, New York, USA",
Liquid Sky,1982,4086,"New York City, New York, USA",
The Extra Man,2010,4209,"Neue Galerie New York, 1048 5th Avenue, Manhattan, New York City, New York, USA",
The Extra Man,2010,4209,"Museum Mile, Manhattan, New York City, New York, USA",
The Extra Man,2010,4209,"Central Park, Manhattan, New York City, New York, USA",
The Extra Man,2010,4209,"New Middle Collegiate Church, Second Avenue, East Village, Manhattan, New York City, New York, USA",
The Extra Man,2010,4209,"New York City, New York, USA",
Heights,2005,4261,"Bryant Park, Manhattan, New York City, New York, USA",
Heights,2005,4261,"New York City, New York, USA",
The Incredible Torture Show,1976,4263,"Columbus Circle, Manhattan, New York City, New York, USA",
The Incredible Torture Show,1976,4263,"New York City, New York, USA",
Audrey Rose,1977,4290,"Manhattan, New York City, New York, USA",
Audrey Rose,1977,4290,"Hotel des Artistes, Manhattan, New York City, New York, USA",
Audrey Rose,1977,4290,"Central Park, Manhattan, New York City, New York, USA",
The Inevitable Defeat of Mister & Pete,2013,4333,"New York City, New York, USA",
The Hospital,1971,4362,"Manhattan, New York City, New York, USA",
The Hospital,1971,4362,"Metropolitan Hospital -1901 First Avenue, Manhattan, New York City, New York, USA",
The Hospital,1971,4362,"New York City, New York, USA",
The Hospital,1971,4362,"Upper East Side, Manhattan, New York City, New York, USA",
Force of Evil,1948,4385,"George Washington Bridge, Manhattan, New York City, New York, USA",
Force of Evil,1948,4385,"Wall Street, Manhattan, New York City, New York, USA",
Force of Evil,1948,4385,"New York City, New York, USA",
Dinner Rush,2000,4429,"Gigino Trattoria - 323 Greenwich Street, Tribeca, Manhattan, New York City, New York, USA",
Dinner Rush,2000,4429,"New York City, New York, USA",
Love at First Bite,1979,4455,"5th Avenue, Manhattan, New York City, New York, USA",
Love at First Bite,1979,4455,"Bellevue Hospital - 550 First Avenue, Manhattan, New York City, New York, USA",
Love at First Bite,1979,4455,"Central Park, Manhattan, New York City, New York, USA",
Love at First Bite,1979,4455,"Fifth Avenue, Manhattan, New York City, New York, USA",
Love at First Bite,1979,4455,"Manhattan, New York City, New York, USA",
Love at First Bite,1979,4455,"New York City, New York, USA",
Love at First Bite,1979,4455,"Plaza Hotel - 750 Fifth Avenue, Manhattan, New York City, New York, USA",
Q,1982,4504,"Chrysler Building - 405 Lexington Avenue, Manhattan, New York City, New York, USA",
Q,1982,4504,"Manhattan, New York City, New York, USA",
Q,1982,4504,"New York City, New York, USA",
Murder Party,2007,4517,"Brooklyn, New York City, New York, USA",
Fort Apache the Bronx,1981,4549,"Kaufman Astoria Studios - 3412 36th Street, Astoria, Queens, New York City, New York, USA",
Fort Apache the Bronx,1981,4549,"Bronx, New York City, New York, USA",
Fort Apache the Bronx,1981,4549,"Charlotte Street, Bronx, New York City, New York, USA",
Fort Apache the Bronx,1981,4549,"New York City, New York, USA",
Super Fly,1972,4594,"East Village, Manhattan, New York City, New York, USA",
Super Fly,1972,4594,"New York City, New York, USA",
Learning to Drive,2014,4795,"New York City, New York, USA",
Raising Victor Vargas,2002,4814,"Lower East Side, Manhattan, New York City, New York, USA",
The Driller Killer,1979,4958,"New York City, New York, USA",
She's Gotta Have It,1986,4959,"Brooklyn, New York City, New York, USA",
Jeffrey,1995,4987,"Central Park, Manhattan, New York City, New York, USA",
Jeffrey,1995,4987,"New York City, New York, USA",
